VENDOR_ID,CLIENT,VENDOR_GSTIN,VENDOR_NAME,IDENTIFIER_TEXT,DOCUMENT_TEXT,MATCH_SCORE
SWIGGY_1115,SWIGGY,19AAECA1925D1Z1,APEEJAY TEA LIMITED._KOL,APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1 APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1 APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1 APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1,APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1 APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1 APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1 APEEJAY TEA LIMITED._KOL 19AAECA1925D1Z1,1
SWIGGY_1116,SWIGGY,29AAECA1925D1Z0,APEEJAY TEA LIMITED_HYD,APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0 APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0 APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0 APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0,APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0 APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0 APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0 APEEJAY TEA LIMITED_HYD 29AAECA1925D1Z0,1
SWIGGY_1117,SWIGGY,09AAECA1925D1Z2,APEEJAY TEA LIMITED_NCR,APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2 APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2 APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2 APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2,APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2 APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2 APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2 APEEJAY TEA LIMITED_NCR 09AAECA1925D1Z2,1
SWIGGY_1118,SWIGGY,29AAACM0656K2ZA,APIS INDIA LIMITED - BANGALORE,APIS INDIA LIMITED - BANGALORE 29AAACM0656K2ZA APIS INDIA LIMITED - BANGALORE 29AAACM0656K2ZA,APIS INDIA LIMITED - BANGALORE 29AAACM0656K2ZA APIS INDIA LIMITED - BANGALORE 29AAACM0656K2ZA,1
SWIGGY_1119,SWIGGY,36AAACM0656K1ZG,APIS INDIA LIMITED - HYDERABAD,APIS INDIA LIMITED - HYDERABAD 36AAACM0656K1ZG APIS INDIA LIMITED - HYDERABAD 36AAACM0656K1ZG,APIS INDIA LIMITED - HYDERABAD 36AAACM0656K1ZG APIS INDIA LIMITED - HYDERABAD 36AAACM0656K1ZG,1
SWIGGY_1120,SWIGGY,06AAACM0656K1ZJ,APIS INDIA LTD,APIS INDIA LTD 06AAACM0656K1ZJ APIS INDIA LTD 06AAACM0656K1ZJ APIS INDIA LTD 06AAACM0656K1ZJ APIS INDIA LTD 06AAACM0656K1ZJ,APIS INDIA LTD 06AAACM0656K1ZJ APIS INDIA LTD 06AAACM0656K1ZJ APIS INDIA LTD 06AAACM0656K1ZJ APIS INDIA LTD 06AAACM0656K1ZJ,1
SWIGGY_1121,SWIGGY,29AAACA5443N2ZD,APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLO HOSPITALS ENTERPRISE LIMITED 29AAACA5443N2ZD APOLLO HOSPITALS ENTERPRISE LIMITED 29AAACA5443N2ZD,APOLLO HOSPITALS ENTERPRISE LIMITED 29AAACA5443N2ZD APOLLO HOSPITALS ENTERPRISE LIMITED 29AAACA5443N2ZD,1
SWIGGY_1122,SWIGGY,24AAPCA5954P1ZX,APOLLO PHARMACIES LIMITED,APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX,APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX APOLLO PHARMACIES LIMITED 24AAPCA5954P1ZX,1
SWIGGY_1123,SWIGGY,29AAPCA5954P1ZN,APOLLO PHARMACIES LIMITED,APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN,APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN APOLLO PHARMACIES LIMITED 29AAPCA5954P1ZN,1
SWIGGY_1124,SWIGGY,03AAPCA5954P1Z1,APOLLO PHARMACIES LIMITED,APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1 APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1 APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1 APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1,APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1 APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1 APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1 APOLLO PHARMACIES LIMITED 03AAPCA5954P1Z1,1
